"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 01:50:00","EDT","LONGIL",61762,2669.3806
"07/12/2024 01:50:00","EDT","MHK VL",61756,794.5533
"07/12/2024 01:50:00","EDT","MILLWD",61759,333.7786
"07/12/2024 01:50:00","EDT","N.Y.C.",61761,6764.1587
"07/12/2024 01:50:00","EDT","NORTH",61755,647.5018
"07/12/2024 01:50:00","EDT","WEST",61752,1715.0065
"07/12/2024 01:55:00","EDT","CAPITL",61757,1487.4921
"07/12/2024 01:55:00","EDT","CENTRL",61754,1681.9746
"07/12/2024 01:55:00","EDT","DUNWOD",61760,762.8737
"07/12/2024 01:55:00","EDT","GENESE",61753,1050.4963
"07/12/2024 01:55:00","EDT","HUD VL",61758,1181.1608
"07/12/2024 01:55:00","EDT","LONGIL",61762,2640.16
"07/12/2024 01:55:00","EDT","MHK VL",61756,817.0387
"07/12/2024 01:55:00","EDT","MILLWD",61759,330.9157
"07/12/2024 01:55:00","EDT","N.Y.C.",61761,6744.5654
"07/12/2024 01:55:00","EDT","NORTH",61755,625.5024
"07/12/2024 01:55:00","EDT","WEST",61752,1700.0142
"07/12/2024 02:00:00","EDT","CAPITL",61757,1466.1334
"07/12/2024 02:00:00","EDT","CENTRL",61754,1672.2864
"07/12/2024 02:00:00","EDT","DUNWOD",61760,760.1014
"07/12/2024 02:00:00","EDT","GENESE",61753,1054.6545
"07/12/2024 02:00:00","EDT","HUD VL",61758,1184.6221
"07/12/2024 02:00:00","EDT","LONGIL",61762,2636.1152
"07/12/2024 02:00:00","EDT","MHK VL",61756,799.9249
"07/12/2024 02:00:00","EDT","MILLWD",61759,340.0704
"07/12/2024 02:00:00","EDT","N.Y.C.",61761,6721.538
"07/12/2024 02:00:00","EDT","NORTH",61755,630.246
"07/12/2024 02:00:00","EDT","WEST",61752,1718.1587
"07/12/2024 02:05:00","EDT","CAPITL",61757,1479.1287
"07/12/2024 02:05:00","EDT","CENTRL",61754,1669.4224
"07/12/2024 02:05:00","EDT","DUNWOD",61760,763.436
"07/12/2024 02:05:00","EDT","GENESE",61753,1047.6392
"07/12/2024 02:05:00","EDT","HUD VL",61758,1163.2655
"07/12/2024 02:05:00","EDT","LONGIL",61762,2612.4575
"07/12/2024 02:05:00","EDT","MHK VL",61756,806.1655
"07/12/2024 02:05:00","EDT","MILLWD",61759,327.8439
"07/12/2024 02:05:00","EDT","N.Y.C.",61761,6685.96
"07/12/2024 02:05:00","EDT","NORTH",61755,623.2459
"07/12/2024 02:05:00","EDT","WEST",61752,1695.9948
"07/12/2024 02:10:00","EDT","CAPITL",61757,1462.9658
"07/12/2024 02:10:00","EDT","CENTRL",61754,1683.0474
"07/12/2024 02:10:00","EDT","DUNWOD",61760,764.2778
"07/12/2024 02:10:00","EDT","GENESE",61753,1043.7087
"07/12/2024 02:10:00","EDT","HUD VL",61758,1178.0298
"07/12/2024 02:10:00","EDT","LONGIL",61762,2605.4675
"07/12/2024 02:10:00","EDT","MHK VL",61756,790.9829
