l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
49,32526610,93950956,230000,6,line,,,SMUD,7481.0,0.04,0.16,23.0,2.6,Yes
50,32050965,407070542,115000,6,line,,,,31535.0,,,,,Yes
51,30410527,188161327,115000,6,line,,-Antlantic - Pleasant Grove,PG&E-Pacific Gas and Electric,8525.0,,,,,Yes
52,61558067,24397698,115000,,line,,,PG&E,25098.0,,,,,
53,24294714,27058652,115000,6,line,,Ravenswood - San Mateo 115kV transmission line,,4270.0,,,,,
54,112445764,33106247,115000,6,line,60,,,13359.0,,,,,Yes
55,518058316,37691256,115000,6,line,,,,9388.0,,,,,Yes
56,35479377,33106247,115000,6,line,60,-115kV transmission line,,12663.0,,,,,Yes
57,169507757,169507758,115000,3,line,,,,48.0,,,,,
58,169507757,169507766,115000,6,line,,,,9492.0,,,,,Yes
59,35799514,613151166,115000,3,line,,,,93.0,,,,,
60,92107752,35602439,115000,6,line,,Oleum - Martinez 115kV transmission line,,3785.0,,,,,
61,501515904,30995423,138000,,line,,,San Diego Gas & Electric,4935.0,,,,,
62,80213764,49048130,138000,6,line,60,-138kV,LADWP,17938.0,,,,,
63,80213764,80213757,138000,6,line,60,,Los Angeles Department of Water and Power,5342.0,,,,,Yes
64,80213764,74839059,138000,6,line,60,138kV,,9296.0,,,,,
65,394710539,393475144,138000,,cable,60,,Los Angeles Department of Water and Power,6693.0,,,,,
66,119718924,119718927,138000,3,line,,,San Diego Gas & Electric,87.0,,,,,
67,119718927,167005121,138000,3,line,,,San Diego Gas & Electric,71.0,,,,,
68,119718927,167005125,138000,,line,,,San Diego Gas & Electric,15544.0,,,,,
69,159759778,393475144,138000,,line,60,,Los Angeles Department of Water and Power,6270.0,,,,,
70,159759778,394549585,138000,6,cable,60,138kV (Cable),Los Angeles Department of Water and Power,8376.0,,,,,
71,49048130,394549585,138000,6,line,60,138kV,Los Angeles Department of Water and Power,5227.0,,,,,
72,33808384,91834998,220000,,line,,,,2290.0,,,,,
73,141726016,81232560,220000,6,line,60,,,71281.0,0.08,0.32,11.5,1.3,Yes
74,141726016,339724966,220000,6,line,60,,,23149.0,0.08,0.32,11.5,1.3,Yes
75,141726016,86369466,220000,6,line,60,,,76961.0,0.08,0.32,11.5,1.3,Yes
76,169674290,169514309,220000,3,line,60,,,79858.0,,,,,
77,169674290,169674285,220000,3,line,60,,,9284.0,,,,,
78,169674290,169674294,220000,3,line,60,,,10728.0,,,,,
79,169674290,169674288,220000,3,line,60,,,11754.0,,,,,
80,169674290,169674289,220000,3,line,60,,,11998.0,,,,,
81,169674290,169326813,220000,3,line,60,,,16272.0,,,,,
82,169674290,169402989,220000,3,line,60,,,79853.0,,,,,
83,40309253,133585863,220000,6,line,60,,,79550.0,,,,,Yes
84,40309253,41265171,220000,6,line,60,,Southern California Edison,14623.0,,,,,Yes
85,40309253,91834998,220000,6,line,60,,,64327.0,,,,,Yes
86,40309253,27340751,220000,6,line,60,,,41284.0,,,,,Yes
